OID,ident,lat,long,id,alt,gs,time,heading
-1,208,36.23982,-114.44389,SKW5287,35000,421,11/07/2016 02:20:30,67
-1,209,33.82333,-114.97028,ASH5641,32000,459,11/07/2016 02:21:00,281
-1,210,33.93517,-118.4343,AAL202,1100,183,11/07/2016 02:21:09,267
-1,211,36.25809,-114.3926,SKW5287,35000,426,11/07/2016 02:21:11,66
-1,212,34.35222,-116.32917,ASH5666,36000,451,11/07/2016 02:21:12,282
-1,213,33.93398,-118.4532,AAL202,1600,195,11/07/2016 02:21:24,266
-1,214,33.93045,-118.4727,AAL202,1900,211,11/07/2016 02:21:41,253
-1,215,36.30318,-114.2679,SKW5287,35000,445,11/07/2016 02:21:49,66
-1,216,33.845,-115.12222,ASH5641,32000,460,11/07/2016 02:22:02,280
-1,217,33.92099,-118.5049,AAL202,2400,241,11/07/2016 02:22:08,250
-1,218,34.37639,-116.47694,ASH5666,36000,449,11/07/2016 02:22:15,281
-1,219,36.33009,-114.1935,SKW5287,35200,424,11/07/2016 02:22:20,66
-1,220,33.91447,-118.525,AAL202,2600,258,11/07/2016 02:22:23,249
-1,221,33.908,-118.5441,AAL202,3100,265,11/07/2016 02:22:38,248
-1,222,36.34456,-114.1532,SKW5287,35200,417,11/07/2016 02:22:41,65
-1,223,33.86833,-115.27472,ASH5641,32000,463,11/07/2016 02:23:04,280
-1,224,33.89177,-118.5886,AAL202,4300,274,11/07/2016 02:23:09,241
-1,225,34.40139,-116.62167,ASH5666,36000,440,11/07/2016 02:23:17,282
-1,226,33.8756,-118.6047,AAL202,4900,277,11/07/2016 02:23:26,209
-1,227,33.85423,-118.6087,AAL202,5500,278,11/07/2016 02:23:44,176
-1,228,33.83565,-118.6014,AAL202,6200,271,11/07/2016 02:24:01,150
-1,229,33.89556,-115.455,ASH5641,32000,460,11/07/2016 02:24:07,280
-1,230,33.82001,-118.5832,AAL202,6800,274,11/07/2016 02:24:16,124
-1,231,34.42611,-116.76917,ASH5666,36000,444,11/07/2016 02:24:19,282
-1,232,33.81443,-118.5618,AAL202,7200,281,11/07/2016 02:24:31,100
-1,233,33.81757,-118.5377,AAL202,7700,294,11/07/2016 02:24:46,70
-1,234,33.82974,-118.517,AAL202,8000,302,11/07/2016 02:25:03,44
-1,235,33.91667,-115.60056,ASH5641,32000,451,11/07/2016 02:25:09,280
-1,236,34.45472,-116.94583,ASH5666,36000,444,11/07/2016 02:25:21,281
-1,237,33.88261,-118.4735,AAL202,9600,303,11/07/2016 02:25:47,34
-1,238,33.89694,-118.4618,AAL202,9900,308,11/07/2016 02:26:02,34
-1,239,33.93806,-115.74583,ASH5641,32000,445,11/07/2016 02:26:11,280
-1,240,34.47889,-117.09306,ASH5666,36000,444,11/07/2016 02:26:24,281
-1,241,33.94743,-118.4085,AAL202,11000,324,11/07/2016 02:26:47,49
-1,242,33.95972,-115.89583,ASH5641,32000,455,11/07/2016 02:27:13,280
-1,243,33.97392,-118.3614,AAL202,12400,317,11/07/2016 02:27:17,56
-1,244,34.50167,-117.23944,ASH5666,36000,444,11/07/2016 02:27:26,281
-1,245,35.34773,-113.9017,AAL19,36000,435,11/07/2016 02:27:36,246
-1,246,33.99719,-118.3186,AAL202,13300,318,11/07/2016 02:27:47,56
-1,247,35.32503,-113.9636,AAL19,36000,433,11/07/2016 02:28:08,246
-1,248,33.9825,-116.04583,ASH5641,32000,457,11/07/2016 02:28:16,280
-1,249,34.02287,-118.2737,AAL202,13900,342,11/07/2016 02:28:19,55
-1,250,34.52528,-117.3875,ASH5666,36000,444,11/07/2016 02:28:28,281
-1,251,34.05386,-118.21979,AAL202,14500,366,11/07/2016 02:28:49,56
-1,252,33.91502,-114.7238,AAL2480,34000,455,11/07/2016 02:29:02,272
-1,253,35.27972,-114.08056,AAL19,36000,436,11/07/2016 02:29:08,246
-1,254,35.27151,-114.1079,AAL19,36000,433,11/07/2016 02:29:08,246
-1,255,34.00806,-116.2275,ASH5641,32000,458,11/07/2016 02:29:18,280
-1,256,34.0828,-118.1681,AAL202,15000,386,11/07/2016 02:29:19,56
-1,257,34.5475,-117.53556,ASH5666,36000,444,11/07/2016 02:29:30,280
-1,258,33.91699,-114.7991,AAL2480,34000,455,11/07/2016 02:29:33,272
-1,259,35.24749,-114.1726,AAL19,36000,433,11/07/2016 02:29:39,246
-1,260,33.91954,-114.8988,AAL2480,34000,454,11/07/2016 02:30:07,271
-1,261,34.14661,-118.0553,AAL202,16400,416,11/07/2016 02:30:19,55
-1,262,34.02917,-116.37778,ASH5641,32000,458,11/07/2016 02:30:20,280
-1,263,34.57167,-117.68194,ASH5666,36000,443,11/07/2016 02:30:33,281
-1,264,33.92102,-114.96167,AAL2480,34000,454,11/07/2016 02:30:37,272
-1,265,35.20057,-114.2992,AAL19,36000,434,11/07/2016 02:30:40,246
-1,266,33.92359,-115.06771,AAL2480,34000,454,11/07/2016 02:31:14,272
-1,267,34.21115,-117.9413,AAL202,18000,430,11/07/2016 02:31:21,54
-1,268,34.05056,-116.52778,ASH5641,32000,458,11/07/2016 02:31:22,280
-1,269,34.59861,-117.86139,ASH5666,36000,445,11/07/2016 02:31:35,280
-1,270,35.14079,-114.4594,AAL19,36000,434,11/07/2016 02:31:46,246
-1,271,34.27125,-117.84616,AAL202,19700,430,11/07/2016 02:32:07,53
-1,272,33.92736,-115.23451,AAL2480,34000,454,11/07/2016 02:32:21,273
-1,273,34.07139,-116.67806,ASH5641,32000,458,11/07/2016 02:32:25,280
-1,274,34.62111,-118.00667,ASH5666,36000,440,11/07/2016 02:32:37,281
-1,275,35.0901,-114.5947,AAL19,36000,436,11/07/2016 02:32:48,246
-1,276,34.31021,-117.7691,AAL202,21200,423,11/07/2016 02:32:53,59
-1,277,33.9302,-115.36697,AAL2480,34000,453,11/07/2016 02:33:13,270
-1,278,34.09167,-116.82806,ASH5641,32000,456,11/07/2016 02:33:27,279
-1,279,34.35797,-117.67885,AAL202,22600,426,11/07/2016 02:33:30,56
-1,280,34.6925,-118.14667,ASH5666,36000,451,11/07/2016 02:33:39,302
-1,281,33.93165,-115.4373,AAL2480,34000,453,11/07/2016 02:33:46,272
-1,282,35.03875,-114.7307,AAL19,36000,433,11/07/2016 02:33:48,246
-1,283,34.39229,-117.6173,AAL202,23500,430,11/07/2016 02:34:01,56
-1,284,33.93288,-115.4984,AAL2480,34000,452,11/07/2016 02:34:17,272
-1,285,34.1175,-117.00778,ASH5641,32000,455,11/07/2016 02:34:29,280
-1,286,34.42534,-117.558,AAL202,24200,432,11/07/2016 02:34:31,56
-1,287,34.77056,-118.255,ASH5666,36000,457,11/07/2016 02:34:41,311
-1,288,34.98944,-114.86172,AAL19,36000,431,11/07/2016 02:34:48,245
-1,289,34.45908,-117.4969,AAL202,25000,435,11/07/2016 02:35:01,56
-1,290,34.96036,-114.93839,AAL19,36000,432,11/07/2016 02:35:22,245
-1,291,33.93645,-115.68609,AAL2480,34000,450,11/07/2016 02:35:22,270
-1,292,34.49269,-117.4364,AAL202,25800,438,11/07/2016 02:35:31,56
-1,293,34.13472,-117.13722,ASH5641,32000,455,11/07/2016 02:35:31,279
-1,294,34.85667,-118.37111,ASH5666,36000,456,11/07/2016 02:35:44,312
-1,295,34.93575,-115.003,AAL19,36000,433,11/07/2016 02:35:54,246
-1,296,34.52691,-117.3744,AAL202,26300,445,11/07/2016 02:36:02,56
-1,297,33.93844,-115.79721,AAL2480,34000,448,11/07/2016 02:36:05,270
-1,298,34.56341,-117.3083,AAL202,26900,452,11/07/2016 02:36:32,56
-1,299,34.155,-117.29778,ASH5641,32000,455,11/07/2016 02:36:34,279
-1,300,33.9397,-115.87062,AAL2480,34000,449,11/07/2016 02:36:35,271
-1,301,34.95417,-118.50167,ASH5666,36000,455,11/07/2016 02:36:46,312
-1,302,34.90026,-115.0963,AAL19,36000,431,11/07/2016 02:36:50,246
-1,303,34.59497,-117.2511,AAL202,27400,457,11/07/2016 02:37:02,56
-1,304,33.94026,-115.9011,AAL2480,34000,449,11/07/2016 02:37:06,272
-1,305,34.86018,-115.20103,AAL19,36000,431,11/07/2016 02:37:21,245
-1,306,34.63007,-117.1877,AAL202,28000,459,11/07/2016 02:37:32,56
-1,307,33.94199,-116.0104,AAL2480,34000,451,11/07/2016 02:37:36,272
-1,308,34.17556,-117.44722,ASH5641,32000,454,11/07/2016 02:37:36,279
-1,309,35.03722,-118.61639,ASH5666,35900,452,11/07/2016 02:37:48,312
-1,310,34.8327,-115.2727,AAL19,35700,426,11/07/2016 02:37:54,245
-1,311,34.66782,-117.1193,AAL202,28700,460,11/07/2016 02:38:02,56
-1,312,33.94363,-116.1212,AAL2480,33100,459,11/07/2016 02:38:16,272
-1,313,34.80958,-115.3324,AAL19,35400,422,11/07/2016 02:38:24,245
-1,314,34.7054,-117.051,AAL202,29300,464,11/07/2016 02:38:33,56
-1,315,34.19833,-117.62583,ASH5641,32000,453,11/07/2016 02:38:38,279
-1,316,33.94394,-116.1417,AAL2480,31800,389,11/07/2016 02:38:39,91
-1,317,35.12,-118.73139,ASH5666,36000,450,11/07/2016 02:38:50,311
-1,318,34.74175,-116.9845,AAL202,29700,467,11/07/2016 02:39:03,56
-1,319,33.94601,-116.29477,AAL2480,29900,457,11/07/2016 02:39:24,271
-1,320,34.7596,-115.4627,AAL19,34400,429,11/07/2016 02:39:25,245
-1,321,34.76963,-116.9333,AAL202,30200,470,11/07/2016 02:39:33,56
-1,322,34.21806,-117.775,ASH5641,32000,453,11/07/2016 02:39:40,279
-1,323,35.20222,-118.84667,ASH5666,36000,450,11/07/2016 02:39:53,311
-1,324,34.73103,-115.5365,AAL19,33800,432,11/07/2016 02:39:55,245
-1,325,34.81498,-116.85018,AAL202,30800,474,11/07/2016 02:40:03,57
-1,326,33.94794,-116.4482,AAL2480,27000,454,11/07/2016 02:40:25,271
-1,327,34.85818,-116.771,AAL202,31400,475,11/07/2016 02:40:41,56
-1,328,34.2375,-117.92444,ASH5641,32000,454,11/07/2016 02:40:42,279
-1,329,34.68086,-115.6658,AAL19,32900,433,11/07/2016 02:40:55,246
-1,330,35.28667,-118.96028,ASH5666,36000,451,11/07/2016 02:40:55,312
-1,331,34.89495,-116.7035,AAL202,32100,472,11/07/2016 02:41:12,56
-1,332,33.94962,-116.5917,AAL2480,24800,436,11/07/2016 02:41:25,271
-1,333,34.652,-115.7399,AAL19,32300,434,11/07/2016 02:41:28,245
-1,334,34.93208,-116.6351,AAL202,32700,469,11/07/2016 02:41:42,56
-1,335,34.25722,-118.07222,ASH5641,32000,452,11/07/2016 02:41:45,279
